provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre,juzgado_numero,juzgado_tipo,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalizacion_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°1,1,Circuito,21-12615202-4,DAÑOS Y PERJUICIOS,2018-02-01 00:00:00,2018-02-02 00:00:00,2018-08-07 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-18 00:00:00,2018-10-18 00:00:00,RESULTADO AUD. PROD. PRUEBAS - CONCILIÓ EN AUDIENCIA,,2018-10-22 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°1,1,Circuito,21-12615286-5,JUICIO DAÑOS Y PERJUICIOS,2018-02-05 00:00:00,2018-02-06 00:00:00,2018-08-14 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-18 00:00:00,2018-11-08 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°5,5,Circuito,21-12615531-7,DAÑOS Y PERJUICIOS,2018-02-21 00:00:00,2018-02-22 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-18 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°2,2,Circuito,21-12615630-5,JUICIOS SUMARIOS,2018-02-22 00:00:00,2018-02-23 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°1,1,Circuito,21-12617013-8,DAÑOS Y PERJUICIOS,2018-05-18 00:00:00,2018-05-21 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 15ta. Nom.,15,Distrito,21-02898216-7,SIMULACIÓN,2018-05-21 00:00:00,2018-05-22 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 5ta. Nom.,5,Distrito,21-02892048-9,ESCRITURACION,2017-12-13 00:00:00,2018-06-01 00:00:00,2019-10-28 00:00:00,,2019-06-18 00:00:00,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 17ma. Nom.,17,Distrito,21-02898896-3,JUICIOS ORDINARIOS,2018-06-04 00:00:00,2018-06-05 00:00:00,2019-10-02 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2019-07-25 00:00:00,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12617701-9,JUICIOS SUMARIOS,2018-06-05 00:00:00,2018-06-06 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12617863-5,COBRO DE PESOS,2018-06-07 00:00:00,2018-06-08 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12617865-1,COBRO DE PESOS,2018-06-07 00:00:00,2018-06-08 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°4,4,Circuito,21-12617858-9,COBRO DE PESOS,2018-06-07 00:00:00,2018-06-08 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 2da. Nom.,2,Distrito,21-02899466-1,RECURSO DE AMPARO,2018-06-14 00:00:00,2018-06-15 00:00:00,2018-12-21 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-11-27 00:00:00,2019-04-23 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2019-05-03 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°1,1,Circuito,21-12618127-9,DESALOJO,2018-06-15 00:00:00,2018-06-18 00:00:00,,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-08-17 00:00:00,2018-10-18 00:00:00,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,2018-10-17 00:00:00,2018-10-17 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°3,3,Circuito,21-12618138-5,DESALOJO,2018-06-15 00:00:00,2018-06-18 00:00:00,,,,,,,,,
