provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
22,Chaco,Resistencia,Resistencia - 3,5458/19,ESCRITURACIÓN,2019-05-10,2019-05-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5486/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-10,2019-05-10,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5760/19,DAÑOS Y PERJUICIOS,2019-05-15,2019-05-15,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5875/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-20,2019-05-20,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,5999/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-21,2019-05-21,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,6160/19,ACCIÓN DE REIVINDICACIÓN,2019-05-22,2019-05-22,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,6212/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-24,2019-05-24,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,6288/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-24,2019-05-24,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,6464/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-31,2019-05-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,6679/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-05-31,2019-05-31,,,,,,,,,
22,Chaco,Resistencia,Resistencia - 3,6816/19,DAÑOS Y PERJUICIOS POR ACCIDENTE DE TRÁNSITO,2019-06-03,2019-06-03,,,,,,,,,
