provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre_y_juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion
18,Corrientes,Goya,civil y comercial 1 Goya,35130/18,DAÑOS Y PERJUICIOS,11/12/2018,11/12/2018,25/09/2019,No conciliada,25/09/2019,03/12/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,25188/15,DAÑOS Y PERJUICIOS,08/07/2015,08/07/2015,09/09/2019,No conciliada,09/09/2019,12/11/2019,,,,
18,Corrientes,Goya,civil y comercial 2 Goya,33479/18,DAÑOS Y PERJUICIOS,16/05/2018,16/05/2018,16/09/2019,No conciliada,16/09/2019,17/12/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,32731/18,SUMARIO (CONOCIMENTO),07/02/2018,07/02/2018,02/09/2019,No conciliada,02/09/2019,,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,34555/18,REINVINDICACIÓN - ORDINARIO,04/10/2018,04/10/2018,06/09/2019,No conciliada,06/09/2019,15/10/2019,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,36159/19,DESALOJO,06/05/2019,06/05/2019,13/09/2019,Concilió,13/09/2019,,,,13/09/2019,HOMOLOGATORIA
18,Corrientes,Goya,Civil y comercial 3 de Goya,27861/16,PRESCRIPCIÓN ADQUISITIVA,06/03/2018,06/03/2018,16/09/2019,,16/09/2019,,,23/09/2019,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,36105/19,DAÑOS Y PERJUICIOS,25/04/2019,25/04/2019,19/09/2019,No conciliada,19/09/2019,,,,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,32914/18,CUMPLIMIENTO/RESOLUCION DE CONTRATO,06/03/2018,06/03/2018,23/09/2019,,23/09/2019,,,23/09/2019,,
18,Corrientes,Goya,Civil y comercial 3 de Goya,34667/18,REINVINDICACIÓN - ORDINARIO,24/10/2018,24/10/2018,24/09/2019,No conciliada,24/09/2019,,,,,
